Date,Open,High,Low,Close,Adj Close,Volume
2014-06-23,49.500000,49.500000,49.500000,49.500000,46.067802,0
2014-06-24,49.160000,49.160000,49.160000,49.160000,45.751389,0
2014-06-25,49.419998,49.419998,49.419998,49.419998,45.993362,0
2014-06-26,49.369999,49.369999,49.369999,49.369999,45.946827,0
2014-06-27,49.500000,49.500000,49.500000,49.500000,46.067802,0
2014-06-30,49.529999,49.529999,49.529999,49.529999,46.095730,0
2014-07-01,49.889999,49.889999,49.889999,49.889999,46.430767,0
2014-07-02,49.869999,49.869999,49.869999,49.869999,46.412155,0
2014-07-03,50.139999,50.139999,50.139999,50.139999,46.663437,0
2014-07-07,49.849998,49.849998,49.849998,49.849998,46.393547,0
2014-07-08,49.470001,49.470001,49.470001,49.470001,46.039890,0
2014-07-09,49.689999,49.689999,49.689999,49.689999,46.244629,0
2014-07-10,49.459999,49.459999,49.459999,49.459999,46.030586,0
2014-07-11,49.520000,49.520000,49.520000,49.520000,46.086433,0
2014-07-14,49.750000,49.750000,49.750000,49.750000,46.300480,0
2014-07-15,49.610001,49.610001,49.610001,49.610001,46.170185,0
2014-07-16,49.779999,49.779999,49.779999,49.779999,46.328396,0
2014-07-17,49.180000,49.180000,49.180000,49.180000,45.770004,0
2014-07-18,49.720001,49.720001,49.720001,49.720001,46.272560,0
2014-07-21,49.599998,49.599998,49.599998,49.599998,46.160877,0
2014-07-22,49.860001,49.860001,49.860001,49.860001,46.402855,0
2014-07-23,49.950001,49.950001,49.950001,49.950001,46.486607,0
2014-07-24,49.980000,49.980000,49.980000,49.980000,46.514526,0
2014-07-25,49.709999,49.709999,49.709999,49.709999,46.263248,0
2014-07-28,49.700001,49.700001,49.700001,49.700001,46.253944,0
2014-07-29,49.509998,49.509998,49.509998,49.509998,46.077118,0
2014-07-30,49.549999,49.549999,49.549999,49.549999,46.114346,0
2014-07-31,48.549999,48.549999,48.549999,48.549999,45.183678,0
2014-08-01,48.410000,48.410000,48.410000,48.410000,45.053394,0
2014-08-04,48.759998,48.759998,48.759998,48.759998,45.379124,0
2014-08-05,48.340000,48.340000,48.340000,48.340000,44.988243,0
2014-08-06,48.360001,48.360001,48.360001,48.360001,45.006859,0
2014-08-07,48.110001,48.110001,48.110001,48.110001,44.774189,0
2014-08-08,48.650002,48.650002,48.650002,48.650002,45.276749,0
2014-08-11,48.830002,48.830002,48.830002,48.830002,45.444279,0
2014-08-12,48.709999,48.709999,48.709999,48.709999,45.332581,0
2014-08-13,49.070000,49.070000,49.070000,49.070000,45.667625,0
2014-08-14,49.279999,49.279999,49.279999,49.279999,45.863060,0
2014-08-15,49.279999,49.279999,49.279999,49.279999,45.863060,0
2014-08-18,49.740002,49.740002,49.740002,49.740002,46.291172,0
2014-08-19,49.980000,49.980000,49.980000,49.980000,46.514526,0
2014-08-20,50.090000,50.090000,50.090000,50.090000,46.616905,0
2014-08-21,50.220001,50.220001,50.220001,50.220001,46.737888,0
2014-08-22,50.150002,50.150002,50.150002,50.150002,46.672745,0
2014-08-25,50.380001,50.380001,50.380001,50.380001,46.886799,0
2014-08-26,50.480000,50.480000,50.480000,50.480000,46.979858,0
2014-08-27,50.480000,50.480000,50.480000,50.480000,46.979858,0
2014-08-28,50.389999,50.389999,50.389999,50.389999,46.896099,0
2014-08-29,50.580002,50.580002,50.580002,50.580002,47.072926,0
2014-09-02,50.599998,50.599998,50.599998,50.599998,47.091541,0
2014-09-03,50.540001,50.540001,50.540001,50.540001,47.035702,0
2014-09-04,50.439999,50.439999,50.439999,50.439999,46.942635,0
2014-09-05,50.680000,50.680000,50.680000,50.680000,47.165993,0
2014-09-08,50.570000,50.570000,50.570000,50.570000,47.063625,0
2014-09-09,50.209999,50.209999,50.209999,50.209999,46.728588,0
2014-09-10,50.400002,50.400002,50.400002,50.400002,46.905403,0
2014-09-11,50.490002,50.490002,50.490002,50.490002,46.989166,0
2014-09-12,50.160000,50.160000,50.160000,50.160000,46.682056,0
2014-09-15,50.029999,50.029999,50.029999,50.029999,46.561062,0
2014-09-16,50.389999,50.389999,50.389999,50.389999,46.896099,0
2014-09-17,50.459999,50.459999,50.459999,50.459999,46.961250,0
2014-09-18,50.689999,50.689999,50.689999,50.689999,47.175301,0
2014-09-19,50.610001,50.610001,50.610001,50.610001,47.100845,0
2014-09-22,50.130001,50.130001,50.130001,50.130001,46.654133,0
2014-09-23,49.599998,49.599998,49.599998,49.599998,46.369919,0
2014-09-24,49.980000,49.980000,49.980000,49.980000,46.725182,0
2014-09-25,49.189999,49.189999,49.189999,49.189999,45.986629,0
2014-09-26,49.610001,49.610001,49.610001,49.610001,46.379276,0
2014-09-29,49.500000,49.500000,49.500000,49.500000,46.276436,0
2014-09-30,49.290001,49.290001,49.290001,49.290001,46.080109,0
2014-10-01,48.619999,48.619999,48.619999,48.619999,45.453751,0
2014-10-02,48.669998,48.669998,48.669998,48.669998,45.500484,0
2014-10-03,49.200001,49.200001,49.200001,49.200001,45.995972,0
2014-10-06,49.090000,49.090000,49.090000,49.090000,45.893143,0
2014-10-07,48.340000,48.340000,48.340000,48.340000,45.191978,0
2014-10-08,49.169998,49.169998,49.169998,49.169998,45.967926,0
2014-10-09,48.130001,48.130001,48.130001,48.130001,44.995659,0
2014-10-10,47.520000,47.520000,47.520000,47.520000,44.425377,0
2014-10-13,46.770000,46.770000,46.770000,46.770000,43.724228,0
2014-10-14,46.910000,46.910000,46.910000,46.910000,43.855099,0
2014-10-15,46.639999,46.639999,46.639999,46.639999,43.602692,0
2014-10-16,46.759998,46.759998,46.759998,46.759998,43.714882,0
2014-10-17,47.290001,47.290001,47.290001,47.290001,44.210365,0
2014-10-20,47.740002,47.740002,47.740002,47.740002,44.631054,0
2014-10-21,48.689999,48.689999,48.689999,48.689999,45.519180,0
2014-10-22,48.290001,48.290001,48.290001,48.290001,45.145241,0
2014-10-23,48.910000,48.910000,48.910000,48.910000,45.724857,0
2014-10-24,49.220001,49.220001,49.220001,49.220001,46.014675,0
2014-10-27,49.150002,49.150002,49.150002,49.150002,45.949226,0
2014-10-28,49.810001,49.810001,49.810001,49.810001,46.566246,0
2014-10-29,49.720001,49.720001,49.720001,49.720001,46.482121,0
2014-10-30,50.029999,50.029999,50.029999,50.029999,46.771927,0
2014-10-31,50.639999,50.639999,50.639999,50.639999,47.342186,0
2014-11-03,50.639999,50.639999,50.639999,50.639999,47.342186,0
2014-11-04,50.459999,50.459999,50.459999,50.459999,47.173916,0
2014-11-05,50.720001,50.720001,50.720001,50.720001,47.416996,0
2014-11-06,50.950001,50.950001,50.950001,50.950001,47.632011,0
2014-11-07,50.980000,50.980000,50.980000,50.980000,47.660061,0
2014-11-10,51.150002,51.150002,51.150002,51.150002,47.818993,0
2014-11-11,51.180000,51.180000,51.180000,51.180000,47.847034,0
2014-11-12,51.200001,51.200001,51.200001,51.200001,47.865726,0
2014-11-13,51.169998,51.169998,51.169998,51.169998,47.837685,0
2014-11-14,51.189999,51.189999,51.189999,51.189999,47.856384,0
2014-11-17,51.180000,51.180000,51.180000,51.180000,47.847034,0
2014-11-18,51.459999,51.459999,51.459999,51.459999,48.108795,0
2014-11-19,51.340000,51.340000,51.340000,51.340000,47.996620,0
2014-11-20,51.490002,51.490002,51.490002,51.490002,48.136845,0
2014-11-21,51.759998,51.759998,51.759998,51.759998,48.389263,0
2014-11-24,51.959999,51.959999,51.959999,51.959999,48.576237,0
2014-11-25,51.919998,51.919998,51.919998,51.919998,48.538834,0
2014-11-26,52.070000,52.070000,52.070000,52.070000,48.679073,0
2014-11-28,51.869999,51.869999,51.869999,51.869999,48.492100,0
2014-12-01,51.430000,51.430000,51.430000,51.430000,48.080757,0
2014-12-02,51.770000,51.770000,51.770000,51.770000,48.398613,0
2014-12-03,52.020000,52.020000,52.020000,52.020000,48.632336,0
2014-12-04,51.950001,51.950001,51.950001,51.950001,48.566883,0
2014-12-05,52.060001,52.060001,52.060001,52.060001,48.669724,0
2014-12-08,51.660000,51.660000,51.660000,51.660000,48.295765,0
2014-12-09,51.730000,51.730000,51.730000,51.730000,48.361214,0
2014-12-10,50.849998,50.849998,50.849998,50.849998,47.538521,0
2014-12-11,51.090000,51.090000,51.090000,51.090000,47.762890,0
2014-12-12,50.299999,50.299999,50.299999,50.299999,47.024342,0
2014-12-15,49.950001,49.950001,49.950001,49.950001,46.697132,0
2014-12-16,49.570000,49.570000,49.570000,49.570000,46.341885,0
2014-12-17,50.639999,50.639999,50.639999,50.639999,47.342186,0
2014-12-18,51.799999,51.799999,51.799999,51.799999,48.426659,0
2014-12-19,51.759998,51.759998,51.759998,51.759998,48.389263,0
2014-12-22,51.970001,51.970001,51.970001,51.970001,48.843197,0
2014-12-23,52.060001,52.060001,52.060001,52.060001,48.927788,0
2014-12-24,52.080002,52.080002,52.080002,52.080002,48.946587,0
2014-12-26,52.270000,52.270000,52.270000,52.270000,49.125149,0
